sample_id,severity,G_selected,damaged_component,note,raw_cells,kept_cells,pct_kept,pct_kept_lo,pct_kept_hi,mean_mt_before,mean_mt_after,mean_counts_before,mean_counts_after,mean_genes_before,mean_genes_after
GSM6249236_26-0,Mild,4,2;3;4,ok,6037,3656,60.56,59.3,61.69,4.581,2.518,3484.5,5047.3,1350.2,1792.8
GSM6249237_26-7,Mild,4,2;3,ok,6654,3808,57.23,56.03,58.48,6.299,3.189,4105.2,6229.6,1465,2007.4
GSM6249238_26-14,Mild,4,2;4,ok,7593,5255,69.21,68.13,70.28,5.851,3.589,3768.8,4957.1,1397.7,1724.2
GSM6249239_27-2,Exposed,4,4,ok,6397,6284,98.23,97.92,98.55,7.159,6.234,3646.5,3697.1,1301.3,1320.3
GSM6249240_27-14,Exposed,4,1;3,ok,12912,9806,75.94,75.17,76.68,5.042,3.95,2672.8,3226.9,1058.7,1214.5
GSM6249241_27-28,Exposed,4,2;4,ok,12168,9639,79.22,78.55,79.91,6.312,4.345,4159.6,4892.6,1376.9,1549
GSM6249242_28-0,Mild,4,3;4,ok,11702,8438,72.11,71.29,72.94,5.346,3.091,3754,4678.1,1481.1,1744.9
GSM6249243_28-3,Mild,4,1;4,ok,13017,6823,52.42,51.49,53.31,6.149,3.261,2367.8,3431.7,1055,1342.8
GSM6249244_28-14,Mild,4,2;3,ok,15916,11809,74.2,73.49,74.89,5.047,3.386,3394.4,4101,1301.4,1488.3
GSM6249245_29-0,Mild,4,3;4,ok,12988,8902,68.54,67.75,69.29,5.584,3.468,3713.7,4868.2,1404.8,1721.6
GSM6249246_29-7,Mild,4,2;4,ok,9782,8062,82.42,81.67,83.16,6.008,4.153,3836.9,4412.2,1335.7,1481.1
GSM6249247_29-14,Mild,4,2;3,ok,12349,8779,71.09,70.27,71.86,7.079,4.327,4007.8,5105.2,1421.7,1699.1
GSM6249248_31-0,Mild,4,3,ok,7780,6641,85.36,84.58,86.13,3.646,2.562,4049.9,4543.4,1458.6,1589.6
GSM6249249_31-7,Mild,4,4,ok,10566,9027,85.43,84.78,86.12,3.818,2.958,3759.4,4202.3,1234.5,1339.3
GSM6249250_31-14,Mild,4,1,ok,13759,11994,87.17,86.66,87.72,3.475,2.803,3618.1,3986.7,1241.6,1334.6
GSM6249251_34-0,Severe,4,1;4,ok,12034,7705,64.03,63.19,64.82,7.077,3.837,2670.3,3589.1,1103.6,1375.3
GSM6249252_34-7,Severe,4,3;4,ok,12686,8815,69.49,68.68,70.24,6.125,4.565,2918.3,3782.8,1069.7,1300.7
GSM6249253_39-0,Severe,4,3;4,ok,7418,4749,64.02,62.98,65.14,6.25,3.321,3585,4970.8,1290.2,1622.9
GSM6249254_39-7,Severe,4,1;4,ok,10845,7186,66.26,65.4,67.21,6.385,3.815,3337.6,4442.9,1234,1506.8
GSM6249255_39-14,Severe,4,2;4,ok,12891,6972,54.08,53.27,54.94,6.876,3.69,2933.9,4455.8,1116.7,1493.7
GSM6249256_41-0,Severe,4,1;4,ok,10381,5824,56.1,55.19,57.1,5.792,3.099,3060.9,4598.8,1203,1607.9
GSM6249257_41-7,Severe,4,2;3,ok,11000,8557,77.79,76.99,78.5,4.292,2.833,3945.5,4697.3,1347.6,1530.5
GSM6249258_41-14,Severe,4,1;2,ok,11327,6959,61.44,60.6,62.28,6.18,3.72,3030,4221.3,1156.8,1453.7
GSM6249259_46-0,Mild,4,1;4,ok,15026,11204,74.56,73.87,75.28,5.473,3.59,3441,4234.7,1278.5,1490
GSM6249260_46-7,Mild,4,2;3,ok,7653,5916,77.3,76.31,78.27,6.535,3.853,4656.1,5639.8,1500.4,1731.4
GSM6249261_46-14,Mild,4,2;3,ok,12226,9911,81.06,80.36,81.74,5.308,3.469,4211,4898,1414,1589
GSM6249262_58-0,Exposed,4,3;4,ok,10032,8450,84.23,83.43,84.94,6.238,4.213,4192.2,4764.4,1500.9,1658.3
GSM6249263_58-7,Exposed,4,1;3,ok,11991,9281,77.4,76.57,78.2,6.17,4.07,3713.3,4343.6,1326.4,1482.2
GSM6249264_58-14,Exposed,4,1;4,ok,11166,7430,66.54,65.59,67.39,7.551,4.374,3487.3,4601.7,1315.6,1605.4
GSM6249265_59-0,Severe,4,2;4,ok,8198,7046,85.95,85.19,86.67,3.728,2.662,4607.5,5160.3,1531.4,1671.5
GSM6249266_59-14,Severe,4,2;4,ok,14438,11691,80.97,80.3,81.59,4.35,3.252,3855.1,4467.7,1340.5,1501.1
GSM6249267_111-0,Exposed,4,3;4,ok,12818,10806,84.3,83.66,84.94,6.318,4.5,3692.1,4168.8,1362.1,1492.2
GSM6249268_111-14,Exposed,4,1,ok,12092,12044,99.6,99.48,99.71,5.851,5.664,3716.7,3728.7,1357.3,1361.7
GSM6249269_145-0,Severe,4,3,ok,6683,4602,68.86,67.83,70.04,4.614,3.551,3637.1,4713.3,1310.8,1597.2
GSM6249270_145-7,Severe,4,2;4,ok,10802,8448,78.21,77.49,79.06,8.016,5.076,3532.1,4217.1,1303.7,1494
GSM6249271_145-14,Severe,4,1;3,ok,12144,10187,83.89,83.2,84.55,7.574,5.115,4097.9,4685.1,1410.8,1572.3
GSM6249272_2209,Healthy,4,2;4,ok,17848,12671,70.99,70.31,71.65,5.425,3.33,2814.1,3553,1062.1,1248.4
GSM6249273_2211,Healthy,4,3,ok,15367,13276,86.39,85.83,86.95,6.279,4.851,2588.6,2875.1,991,1070.4
GSM6249274_2213,Healthy,4,3;4,ok,20012,14757,73.74,73.12,74.35,7.83,5.176,2697.2,3301.6,1052.6,1220.1
GSM6249275_2224,Healthy,4,3,ok,13793,11669,84.6,84.02,85.24,5.007,4.412,3893.6,4332.7,1299.5,1406.9
GSM6249276_2227,Healthy,4,3;4,ok,12339,10218,82.81,82.18,83.45,6.333,4.631,3330.3,3766.4,1221.6,1365.6
ALL,"",,,"",472830,355297,75.14,,,,,,,,
