sample_id,severity,G_selected,damaged_component,note,raw_cells,kept_cells,pct_kept,pct_kept_lo,pct_kept_hi,mean_mt_before,mean_mt_after,mean_counts_before,mean_counts_after,mean_genes_before,mean_genes_after
GSM6249236_26-0,Mild,4,4,ok,6037,5763,95.46,94.9,95.97,4.581,3.835,3484.5,3577.4,1350.2,1377.4
GSM6249237_26-7,Mild,4,3,ok,6654,6229,93.61,93.01,94.23,6.299,4.633,4105.2,4305.8,1465,1526.7
GSM6249238_26-14,Mild,4,4,ok,7593,7452,98.14,97.84,98.45,5.851,5.37,3768.8,3824.7,1397.7,1416.5
GSM6249239_27-2,Exposed,4,1;4,ok,6397,5063,79.15,78.16,80.18,7.159,4.718,3646.5,4291.8,1301.3,1475.1
GSM6249240_27-14,Exposed,4,1,ok,12912,11594,89.79,89.25,90.29,5.042,3.914,2672.8,2875.7,1058.7,1116.1
GSM6249241_27-28,Exposed,4,2,ok,12168,10777,88.57,88.03,89.13,6.312,4.747,4159.6,4560.6,1376.9,1473.7
GSM6249242_28-0,Mild,4,4,ok,11702,10976,93.8,93.33,94.23,5.346,4.179,3754,3897.9,1481.1,1533.2
GSM6249243_28-3,Mild,4,4,ok,13017,11692,89.82,89.27,90.39,6.149,5.112,2367.8,2499,1055,1103.7
GSM6249244_28-14,Mild,4,2,ok,15916,13753,86.41,85.91,86.98,5.047,3.779,3394.4,3760.8,1301.4,1399.2
GSM6249245_29-0,Mild,4,4,ok,12988,12094,93.12,92.69,93.56,5.584,4.447,3713.7,3913.8,1404.8,1466.9
GSM6249246_29-7,Mild,4,2;4,ok,9782,8062,82.42,81.67,83.16,6.008,4.153,3836.9,4412.2,1335.7,1481.1
GSM6249247_29-14,Mild,4,2;3,ok,12349,8779,71.09,70.27,71.86,7.079,4.327,4007.8,5105.2,1421.7,1699.1
GSM6249248_31-0,Mild,4,none,no_damaged_component,7780,7780,100,,,3.646,3.646,4049.9,4049.9,1458.6,1458.6
GSM6249249_31-7,Mild,4,none,no_damaged_component,10566,10566,100,,,3.818,3.818,3759.4,3759.4,1234.5,1234.5
GSM6249250_31-14,Mild,4,none,no_damaged_component,13759,13759,100,,,3.475,3.475,3618.1,3618.1,1241.6,1241.6
GSM6249251_34-0,Severe,4,2;4,ok,12034,7703,64.01,63.19,64.84,7.077,3.836,2670.3,3589.8,1103.6,1375.5
GSM6249252_34-7,Severe,4,1,ok,12686,12472,98.31,98.08,98.54,6.125,5.511,2918.3,2950.7,1069.7,1080.7
GSM6249253_39-0,Severe,4,2,ok,7418,6946,93.64,93.02,94.19,6.25,5.23,3585,3779.1,1290.2,1352.6
GSM6249254_39-7,Severe,4,2;4,ok,10845,7192,66.32,65.46,67.22,6.385,3.817,3337.6,4440.3,1234,1506.2
GSM6249255_39-14,Severe,4,2;3,ok,12891,7610,59.03,58.21,59.86,6.876,3.875,2933.9,4208.9,1116.7,1434.6
GSM6249256_41-0,Severe,4,1,ok,10381,9241,89.02,88.47,89.66,5.792,5.109,3060.9,3303.5,1203,1280.1
GSM6249257_41-7,Severe,4,2,ok,11000,9509,86.45,85.8,87.11,4.292,3.087,3945.5,4410.4,1347.6,1461.9
GSM6249258_41-14,Severe,4,4,ok,11327,10605,93.63,93.13,94.08,6.18,5.616,3030,3185.8,1156.8,1209.2
GSM6249259_46-0,Mild,4,1,ok,15026,14823,98.65,98.46,98.83,5.473,5.11,3441,3478.6,1278.5,1291.5
GSM6249260_46-7,Mild,4,4,ok,7653,6547,85.55,84.7,86.33,6.535,4.375,4656.1,5247.5,1500.4,1639.8
GSM6249261_46-14,Mild,4,2,ok,12226,10864,88.86,88.29,89.38,5.308,3.757,4211,4630.9,1414,1524.9
GSM6249262_58-0,Exposed,4,1;3,ok,10032,8150,81.24,80.42,82.02,6.238,4.135,4192.2,4863.8,1500.9,1683.5
GSM6249263_58-7,Exposed,4,1,ok,11991,10452,87.17,86.56,87.7,6.17,4.485,3713.3,4100,1326.4,1425.9
GSM6249264_58-14,Exposed,4,2;3,ok,11166,7418,66.43,65.58,67.33,7.551,4.369,3487.3,4603.5,1315.6,1605.6
GSM6249265_59-0,Severe,4,4,ok,8198,7860,95.88,95.43,96.29,3.728,3.407,4607.5,4741.5,1531.4,1568.9
GSM6249266_59-14,Severe,4,3,ok,14438,14334,99.28,99.13,99.42,4.35,4.151,3855.1,3876.8,1340.5,1348.1
GSM6249267_111-0,Exposed,4,1;2,ok,12818,10795,84.22,83.55,84.84,6.318,4.491,3692.1,4171.2,1362.1,1492.7
GSM6249268_111-14,Exposed,4,3,ok,12092,10082,83.38,82.69,84.07,5.851,4.42,3716.7,4203,1357.3,1488.6
GSM6249269_145-0,Severe,4,4,ok,6683,6492,97.14,96.72,97.55,4.614,4.465,3637.1,3700.5,1310.8,1341.3
GSM6249270_145-7,Severe,4,2;4,ok,10802,8961,82.96,82.25,83.62,8.016,5.687,3532.1,4022.2,1303.7,1435.7
GSM6249271_145-14,Severe,4,2;4,ok,12144,10188,83.89,83.26,84.57,7.574,5.115,4097.9,4684.8,1410.8,1572.3
GSM6249272_2209,Healthy,4,4,ok,17848,17453,97.79,97.57,98.01,5.425,5.103,2814.1,2859.1,1062.1,1078.7
GSM6249273_2211,Healthy,4,3;4,ok,15367,12738,82.89,82.27,83.5,6.279,4.621,2588.6,2914,991,1100.3
GSM6249274_2213,Healthy,4,2;3,ok,20012,14755,73.73,73.13,74.33,7.83,5.174,2697.2,3301.6,1052.6,1220.1
GSM6249275_2224,Healthy,4,3,ok,13793,13116,95.09,94.71,95.46,5.007,4.954,3893.6,3950.5,1299.5,1354.5
GSM6249276_2227,Healthy,4,3;4,ok,12339,10218,82.81,82.19,83.52,6.333,4.631,3330.3,3766.4,1221.6,1365.6
ALL,"",,,"",472830,410863,86.89,,,,,,,,
