450905-7,0B943B-14,7085CA-14,2AD75E-14,1A9B20-7,BAAF62-7,75A2B6-7,DF309F-7,0BF51C-7,B85D75-7,180E1A-7,82CCF5-7,3F05F3-7,40067F-21,0E1F8E-14,E9CFE0,F8FF1A,56E219,77DA77,22CBD6,4F2EAD,062CD8
chr1:714051-714060,26,33,76,9,28,15,56,27,15,34,51,37,28,22,56,61,13,17,35,28,46,20
chr1:714101-714110,26,30,74,9,28,16,58,31,17,39,57,43,31,21,62,66,13,18,37,36,53,24
chr1:714151-714160,29,45,94,14,30,23,59,19,23,42,73,54,38,25,66,79,14,21,50,43,81,20
chr1:714201-714210,20,38,61,2,22,21,39,12,20,25,59,50,29,15,50,67,6,19,40,28,67,21
chr1:805301-805310,17,6,24,3,5,8,15,11,4,17,19,18,10,8,13,9,4,7,16,13,17,9
chr1:1051601-1051610,31,44,121,16,35,28,80,41,31,58,114,65,50,32,47,56,20,48,47,49,77,38
chr1:1590601-1590610,30,32,72,13,21,24,49,26,16,36,79,56,25,19,34,43,11,28,30,26,46,12
chr1:1655851-1655860,32,43,83,14,15,25,57,19,16,45,76,67,32,28,25,28,16,17,42,35,48,21
chr1:1655901-1655910,30,49,85,14,16,34,58,26,17,48,89,77,33,33,30,24,17,16,44,36,55,23
chr1:2586351-2586360,48,5,8,31,19,77,49,34,26,27,6,13,84,57,31,37,18,16,6,8,15,8
chr1:2586401-2586410,38,2,6,26,14,69,45,31,24,25,6,10,80,55,27,36,17,15,2,5,11,5
chr1:2629101-2629110,43,3,3,24,19,66,56,45,28,34,7,10,82,55,40,49,15,11,7,2,4,4
chr1:2629151-2629160,54,3,4,30,34,66,67,58,32,39,7,12,119,57,53,58,17,15,8,4,6,5
chr1:2629201-2629210,57,2,4,34,37,75,79,73,34,40,8,8,143,64,60,73,19,15,8,4,5,5
chr1:2629251-2629260,61,1,10,42,32,83,67,69,40,43,18,16,138,73,61,77,24,17,13,10,13,10
chr1:2629301-2629310,37,2,7,27,25,42,45,49,22,34,5,9,106,44,49,59,14,13,3,6,4,3
chr1:6253601-6253610,23,19,22,7,8,47,27,17,12,19,34,10,29,15,18,24,17,13,15,23,21,12
chr1:6259701-6259710,33,29,72,13,26,41,57,28,18,43,71,46,40,29,55,56,14,23,30,35,59,21
chr1:8021601-8021610,41,51,113,18,38,43,78,61,25,62,104,91,40,45,85,69,19,39,48,63,104,32
chr1:8021651-8021660,39,54,104,21,39,43,79,47,25,71,116,85,40,43,78,80,18,55,45,61,97,39
chr1:9489101-9489110,26,19,83,13,21,54,44,26,9,34,71,51,34,29,38,42,14,21,24,30,48,19
chr1:10092851-10092860,38,42,124,17,37,44,85,54,24,68,116,82,41,33,75,53,32,42,49,49,81,40
chr1:10092901-10092910,42,49,125,14,35,53,77,56,30,70,119,79,46,43,59,64,29,37,43,52,82,43
chr1:10270501-10270510,48,30,87,14,26,44,68,32,23,62,78,65,33,37,65,64,30,33,43,45,63,27
chr1:10459001-10459010,53,36,86,19,35,42,76,43,22,66,91,65,37,35,60,72,22,39,39,36,76,22
chr1:11322751-11322760,23,51,88,15,33,33,52,41,25,34,95,62,31,30,57,57,23,31,42,33,71,18
chr1:12934101-12934110,4,1,5,4,8,8,8,9,7,3,3,5,7,10,7,9,13,8,3,2,2,3
chr1:12934151-12934160,10,3,6,4,8,11,8,10,7,7,6,5,8,14,8,9,14,8,3,3,4,4
chr1:12934201-12934210,10,3,5,4,8,12,9,10,8,7,4,5,8,14,8,9,14,8,3,3,4,4
chr1:12934251-12934260,11,3,5,4,8,11,9,8,7,7,4,4,7,11,5,8,11,6,3,3,4,4
chr1:16693651-16693660,32,52,114,11,25,43,75,45,15,54,96,62,35,32,66,63,22,35,42,36,71,35
chr1:16840551-16840560,80,43,73,26,71,74,162,91,45,120,158,104,87,83,176,215,49,96,68,77,117,32
chr1:16840601-16840610,88,62,130,24,71,78,155,87,48,113,217,156,95,97,166,214,53,91,93,121,154,48
chr1:16840651-16840660,68,40,91,14,59,54,111,68,36,88,163,100,70,74,124,147,36,73,64,76,100,28
chr1:16993451-16993460,52,29,97,20,47,57,99,71,41,103,130,88,65,57,104,155,26,85,54,51,84,25
chr1:16993501-16993510,62,30,74,20,52,55,123,81,43,94,117,60,81,62,130,173,31,92,49,50,64,25
chr1:16993551-16993560,59,29,71,18,51,57,118,76,42,93,114,57,78,61,127,171,28,89,46,52,66,27
chr1:16993601-16993610,53,30,71,17,50,54,118,74,41,90,118,61,78,63,125,168,28,87,46,51,70,26
chr1:17066951-17066960,67,35,69,23,52,62,127,74,40,101,103,72,70,68,103,146,42,91,45,45,57,26
chr1:17222701-17222710,68,48,98,24,51,68,125,74,30,106,154,106,56,71,111,128,59,80,66,72,104,37
