450905-0,0B943B-0,7085CA-0,2AD75E-0,1A9B20-0,BAAF62-0,75A2B6-0,DF309F-0,0BF51C-0,B85D75-0,180E1A-0,82CCF5-0,3F05F3-0,40067F-0,0E1F8E-0,E9CFE0,F8FF1A,56E219,77DA77,22CBD6,4F2EAD,062CD8
chr1:714051-714060,51,56,26,19,47,20,50,35,9,31,76,21,34,31,28,61,13,17,35,28,46,20
chr1:714101-714110,57,60,28,24,51,22,54,34,9,33,81,23,37,35,29,66,13,18,37,36,53,24
chr1:714151-714160,54,62,38,17,56,17,63,30,12,33,93,35,34,32,34,79,14,21,50,43,81,20
chr1:714201-714210,47,61,24,8,39,17,45,22,7,28,69,22,23,25,28,67,6,19,40,28,67,21
chr1:805251-805260,17,14,9,3,11,13,13,13,6,10,22,7,10,7,15,13,6,9,16,10,17,5
chr1:805301-805310,15,17,8,3,17,16,14,15,7,6,30,6,8,7,18,9,4,7,16,13,17,9
chr1:1590601-1590610,58,35,30,20,50,36,40,32,9,16,76,24,24,28,43,43,11,28,30,26,46,12
chr1:1655851-1655860,50,57,37,16,35,26,54,33,9,27,122,30,32,34,34,28,16,17,42,35,48,21
chr1:1655901-1655910,51,58,41,14,31,25,49,35,8,33,130,34,31,30,45,24,17,16,44,36,55,23
chr1:2586351-2586360,34,5,7,29,45,7,52,20,23,19,10,15,83,29,26,37,18,16,6,8,15,8
chr1:2586401-2586410,27,2,4,29,37,4,55,21,20,17,7,13,79,27,30,36,17,15,2,5,11,5
chr1:2627051-2627060,11,0,0,7,34,4,32,16,7,3,0,2,44,8,17,27,6,6,4,4,2,2
chr1:2629101-2629110,19,6,3,32,40,5,53,23,23,18,6,7,98,27,40,49,15,11,7,2,4,4
chr1:2629151-2629160,21,6,6,37,52,8,70,28,26,19,6,8,136,27,55,58,17,15,8,4,6,5
chr1:2629201-2629210,25,6,8,37,66,10,85,36,29,23,5,8,166,29,58,73,19,15,8,4,5,5
chr1:2629251-2629260,35,13,12,37,60,13,81,30,29,23,10,15,160,29,50,77,24,17,13,10,13,10
chr1:2629301-2629310,24,3,6,17,42,8,55,21,20,15,4,7,119,21,29,59,14,13,3,6,4,3
chr1:6253601-6253610,18,13,28,13,20,5,28,14,15,11,23,21,24,7,12,24,17,13,15,23,21,12
chr1:6259701-6259710,73,38,27,18,46,17,46,34,14,28,66,29,46,32,32,56,14,23,30,35,59,21
chr1:6761951-6761960,52,27,31,13,30,19,41,18,9,23,77,19,29,22,27,34,23,15,25,27,36,13
chr1:9489101-9489110,37,29,27,12,52,36,48,33,13,30,90,16,27,40,37,42,14,21,24,30,48,19
chr1:10092901-10092910,80,68,32,19,64,36,80,46,22,42,128,45,47,42,49,64,29,37,43,52,82,43
chr1:10270501-10270510,67,51,34,24,47,34,49,32,16,36,77,50,42,38,33,64,30,33,43,45,63,27
chr1:10459001-10459010,89,32,32,23,73,22,72,46,12,46,82,35,45,32,44,72,22,39,39,36,76,22
chr1:12934151-12934160,5,5,4,4,14,4,8,3,5,2,2,2,7,6,5,9,14,8,3,3,4,4
chr1:16840551-16840560,192,61,48,41,147,66,201,91,31,92,158,51,97,86,126,215,49,96,68,77,117,32
chr1:16840601-16840610,193,82,54,42,164,71,208,102,27,101,237,72,96,89,129,214,53,91,93,121,154,48
